STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,n_child,Number of children,agechild,Age of the child,isced11,International Standard Classification of Education (ISCED 2011),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2015,,85.0,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2016,,84.4,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2017,,85.2,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2018,,84.8,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2019,,85.0,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2020,,83.0,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2021,,84.3,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2022,,86.9,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2023,,86.6,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,AT,Austria,2024,,85.6,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BA,Bosnia and Herzegovina,2021,,51.1,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BA,Bosnia and Herzegovina,2022,,53.4,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BA,Bosnia and Herzegovina,2023,,54.5,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BA,Bosnia and Herzegovina,2024,,55.7,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2015,,77.0,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2016,,77.5,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2017,,78.0,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2018,,77.4,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2019,,79.5,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2020,,79.6,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2021,,79.5,,b,break in time series,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2022,,81.3,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2023,,81.4,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BE,Belgium,2024,,79.7,,,,,
dataflow,ESTAT:LFST_HHEREDCH(1.0),"Employment rate of adults by educational attainment level, number of children and age of youngest child",A,Annual,F,Females,Y25-49,From 25 to 49 years,0,No children,TOTAL,Total,TOTAL,All ISCED 2011 levels,RT,Rate,BG,Bulgaria,2015,,79.3,,,,,
